"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","6","RNCP0805FTD1K00CT-ND","RNCP0805FTD1K00","RES 1K OHM 1% 1/4W 0805","","6","0","0.10000","0.60"
"2","1","RMCF0402JT47K0CT-ND","RMCF0402JT47K0","RES 47K OHM 5% 1/16W 0402","","1","0","0.10000","0.10"
"3","3","RNCP0603FTD10K0CT-ND","RNCP0603FTD10K0","RES 10K OHM 1% 1/8W 0603","","3","0","0.10000","0.30"
"4","3","RMCF0402JT470RCT-ND","RMCF0402JT470R","RES 470 OHM 5% 1/16W 0402","","3","0","0.10000","0.30"
"5","1","399-4925-1-ND","C0805C106K8PACTU","CAP CER 10UF 10V X5R 0805","","1","0","0.14000","0.14"
"6","4","399-C0603C104K4REC7867CT-ND","C0603C104K4REC7867","CAP CER 0603 0.1UF 16V X7R 10%","","4","0","0.12000","0.48"
"7","1","MSP430G2513IPW20-ND","MSP430G2513IPW20","IC MCU 16BIT 16KB FLASH 20TSSOP","","1","0","2.69000","2.69"
"8","3","609-4535-1-ND","77311-462K05LF","CONN HEADER VERT 5POS 2.54MM","","0","3","0.83000","2.49"
"9","3","450-1662-ND","1825027-5","SWITCH TACTILE SPST-NO 0.05A 24V","","0","3","0.18000","0.54"
"10","1","160-1415-1-ND","LTST-C170KRKT","LED RED CLEAR SMD","","1","0","0.31000","0.31"
"11","2","516-1434-1-ND","HSMG-C170","LED GREEN DIFFUSED CHIP SMD","","2","0","0.37000","0.74"
"12","1","MMBTA06LT1GOSCT-ND","MMBTA06LT1G","TRANS NPN 80V 500MA SOT23-3","","1","0","0.17000","0.17"
"13","1","445-5242-1-ND","PS1440P02BT","AUDIO PIEZO TRANSDUCER 30V TH","","1","0","0.68000","0.68"
"14","1","399-14947-1-ND","C0603C112J3GAC7867","CAP CER 1100PF 25V C0G/NP0 0603","","1","0","0.42000","0.42"
